when,stage,step,total,alpha,beta,loss,rmse,best_alpha,best_beta,best_loss,best_rmse,violation_rate
2025-10-17T19:49:44,stage1,122,156,5.0,0.5,1.038927,0.093047,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:51,stage1,123,156,5.0,0.7,0.743797,0.078729,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:57,stage1,124,156,5.0,0.9,0.944511,0.088718,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:04,stage1,125,156,5.0,1.1,0.752948,0.079212,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:11,stage1,126,156,5.0,1.3,0.938468,0.088434,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:17,stage1,127,156,5.0,1.5,0.814771,0.0824,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:24,stage1,128,156,5.0,1.7000000000000002,0.808964,0.082106,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:31,stage1,129,156,5.0,1.9000000000000001,0.867635,0.085031,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:37,stage1,130,156,5.0,2.1,0.858727,0.084594,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:44,stage1,131,156,5.0,2.3000000000000003,0.878573,0.085565,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:51,stage1,132,156,5.0,2.5,0.89198,0.086216,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:50:57,stage1,133,156,5.5,0.3,1.152629,0.098006,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:04,stage1,134,156,5.5,0.5,1.080962,0.094911,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:11,stage1,135,156,5.5,0.7,0.718657,0.077387,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:17,stage1,136,156,5.5,0.9,0.927103,0.087897,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:24,stage1,137,156,5.5,1.1,0.777653,0.080501,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:31,stage1,138,156,5.5,1.3,0.860649,0.084688,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:38,stage1,139,156,5.5,1.5,0.824601,0.082896,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:44,stage1,140,156,5.5,1.7000000000000002,0.878214,0.085548,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:51,stage1,141,156,5.5,1.9000000000000001,0.911793,0.087168,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:51:58,stage1,142,156,5.5,2.1,0.829135,0.083123,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:05,stage1,143,156,5.5,2.3000000000000003,0.855834,0.084451,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:11,stage1,144,156,5.5,2.5,0.8566,0.084489,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:18,stage1,145,156,6.0,0.3,1.057132,0.093859,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:25,stage1,146,156,6.0,0.5,1.002906,0.09142,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:31,stage1,147,156,6.0,0.7,0.988745,0.090772,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:38,stage1,148,156,6.0,0.9,0.820447,0.082687,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:44,stage1,149,156,6.0,1.1,0.843585,0.083844,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:51,stage1,150,156,6.0,1.3,0.865862,0.084944,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:52:58,stage1,151,156,6.0,1.5,0.798657,0.081581,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:04,stage1,152,156,6.0,1.7000000000000002,0.761896,0.079681,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:11,stage1,153,156,6.0,1.9000000000000001,0.738286,0.078437,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:18,stage1,154,156,6.0,2.1,0.840006,0.083666,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:25,stage1,155,156,6.0,2.3000000000000003,0.85699,0.084508,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:31,stage1,156,156,6.0,2.5,0.840298,0.083681,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:53:38,stage2,1,300,0.0,0.5000000000000001,0.715401,0.077212,,,inf,inf,0.000103
2025-10-17T19:53:45,stage2,2,300,0.0,0.5500000000000002,0.737139,0.078376,0.0,0.5000000000000001,0.715401209486175,0.07721189510508161,8.6e-05
2025-10-17T19:53:51,stage2,3,300,0.0,0.6000000000000002,0.752051,0.079165,0.0,0.5000000000000001,0.715401209486175,0.07721189510508161,8e-06
2025-10-17T19:53:58,stage2,4,300,0.0,0.6500000000000002,0.772192,0.080218,0.0,0.5000000000000001,0.715401209486175,0.07721189510508161,0.000242
2025-10-17T19:54:05,stage2,5,300,0.0,0.7000000000000003,0.803204,0.081813,0.0,0.5000000000000001,0.715401209486175,0.07721189510508161,1.7e-05
